     n     time
     0   0.000005
    10   0.000001
    20   0.000002
    30   0.000004
    40   0.000006
    50   0.000008
    60   0.000010
    70   0.000014
    80   0.000017
    90   0.000022
   100   0.000027
   200   0.000098
   300   0.000227
   400   0.000375
   500   0.000592
   600   0.000833
   700   0.001126
   800   0.001470
   900   0.001822
  1000   0.001980
  1100   0.002195
  1200   0.002780
  1300   0.003257
  1400   0.003255
  1500   0.003646
  1600   0.003432
  1700   0.003895
  1800   0.003806
  1900   0.004335
  2000   0.004119
