     n     repetitions     time
     0         3276     0.000000
    10         2245     0.000000
    20         1255     0.000001
    30          669     0.000001
    40          417     0.000002
    50          284     0.000004
    60          207     0.000005
    70          160     0.000006
    80          127     0.000008
    90           96     0.000010
   100           93     0.000011
   200           26     0.000039
   300           12     0.000086
   400            7     0.000148
   500            5     0.000231
   600            4     0.000311
   700            3     0.000424
   800            2     0.000543
   900            2     0.000695
  1000            2     0.000839
  1100            2     0.000972
  1200            1     0.001150
  1300            1     0.001386
  1400            1     0.001615
  1500            1     0.001725
  1600            1     0.001955
  1700            1     0.002183
  1800            1     0.002385
  1900            1     0.002657
  2000            1     0.002869
