     n     order     reverse     random
     0    0.000000    0.000000    0.000000
    10    0.000000    0.000000    0.000001
    20    0.000001    0.000001    0.000001
    30    0.000001    0.000001    0.000002
    40    0.000002    0.000002    0.000003
    50    0.000003    0.000003    0.000004
    60    0.000003    0.000004    0.000005
    70    0.000004    0.000005    0.000006
    80    0.000005    0.000006    0.000008
    90    0.000006    0.000007    0.000009
   100    0.000007    0.000009    0.000011
   200    0.000027    0.000031    0.000035
   300    0.000057    0.000065    0.000070
   400    0.000101    0.000114    0.000123
   500    0.000158    0.000183    0.000184
   600    0.000240    0.000273    0.000246
   700    0.000291    0.000324    0.000318
   800    0.000379    0.000446    0.000422
   900    0.000477    0.000536    0.000519
  1000    0.000588    0.000721    0.000699
  1100    0.000804    0.000797    0.000770
  1200    0.000895    0.000941    0.000893
  1300    0.001048    0.001137    0.001041
  1400    0.001236    0.001484    0.001299
  1500    0.001364    0.001469    0.001372
  1600    0.001609    0.001727    0.001561
  1700    0.001709    0.001935    0.001850
  1800    0.002056    0.002363    0.002018
  1900    0.002101    0.002345    0.002295
  2000    0.002564    0.002725    0.002476
